"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 11, 2010","30.27","30.71","30.76","30.12","68.75M","-1.27"
"Jan 08, 2010","30.66","30.28","30.88","30.24","51.20M","0.69"
"Jan 07, 2010","30.45","30.63","30.70","30.19","50.56M","-1.04"
"Jan 06, 2010","30.77","30.88","31.08","30.52","58.18M","-0.61"
"Jan 05, 2010","30.96","30.85","31.10","30.64","49.76M","0.03"
"Jan 04, 2010","30.95","30.62","31.10","30.59","38.41M","1.54"
