"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 11, 2010","30.02","30.40","30.43","29.78","115.56M","-0.86"
"Jan 08, 2010","30.28","30.04","30.29","29.87","111.97M","0.66"
"Jan 07, 2010","30.08","30.25","30.29","29.86","119.28M","-0.20"
"Jan 06, 2010","30.14","30.63","30.75","30.11","138.04M","-1.60"
"Jan 05, 2010","30.63","30.66","30.80","30.46","150.48M","0.20"
"Jan 04, 2010","30.57","30.49","30.64","30.34","123.43M","1.56"
