"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 11, 2010","300.85","302.52","302.52","297.31","7.22M","-0.15"
"Jan 08, 2010","301.30","296.29","301.92","294.84","4.72M","1.33"
"Jan 07, 2010","297.34","305.00","305.30","296.61","6.42M","-2.33"
"Jan 06, 2010","304.43","313.23","313.23","303.47","3.98M","-2.52"
"Jan 05, 2010","312.30","313.89","314.22","311.07","3.01M","-0.44"
"Jan 04, 2010","313.68","313.78","315.06","312.42","1.96M","1.09"
